id,data,testes_realizados,casos_confirmados,novos_confirmados,descartados_total,casos_descartados_exame,casos_descartados_criterio_clinico,obitos_confirmados,obitos_residentes,obitos_nao_residentes,recuperados,casos_suspeitos,novos_suspeitos,confirmados_isolamento,confirmados_ala,confirmados_uti,suspeitos_isolamento,suspeitos_ala,suspeitos_uti,obitos_investigacao,uti_covid,uti_covid_oc_conf,uti_covid_oc_susp,eventos
1,17/03/2020,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
2,18/03/2020,0,0,0,1,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,
3,19/03/2020,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,
4,20/03/2020,0,1,1,2,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,
5,21/03/2020,0,1,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,
6,22/03/2020,0,1,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,
7,23/03/2020,0,1,0,2,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,
8,24/03/2020,0,1,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,
9,25/03/2020,0,1,0,1,0,0,0,0,0,0,47,32,0,0,0,0,0,0,0,0,0,0,
10,26/03/2020,0,1,0,1,0,0,0,0,0,0,58,11,0,0,0,0,0,0,0,0,0,0,
11,27/03/2020,0,1,0,1,0,0,0,0,0,0,65,7,0,0,0,0,0,0,0,0,0,0,
12,29/03/2020,0,2,1,2,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,
13,30/03/2020,0,2,0,2,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,
14,31/03/2020,0,2,0,2,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,
15,01/04/2020,0,2,0,2,0,0,0,0,0,0,178,113,0,0,0,0,0,0,0,0,0,0,
